,0
0,seen
1,perfect
2,'ll
3,nt
4,three
5,academy
6,show
7,ive
8,scene
9,yet
10,way
11,could
12,book
13,go
14,also
15,wo
16,doe
17,going
18,spielberg
19,n't
20,when
21,back
22,may
23,didnt
24,us
25,goodreads
26,greatest
27,original
28,characters
29,vote
30,found
31,youll
32,take
33,like
34,reading
35,hollywood
36,sha
37,sequel
38,hyperlink
39,year
40,things
41,n
42,www
43,'s
44,books
45,need
46,did
47,action
48,movie
49,plot
50,good
51,well
52,first
53,get
54,'d
55,u
56,best
57,actors
58,im
59,make
60,parts
61,http
62,cant
63,want
64,might
65,many
66,even
67,review
68,would
69,permalink
70,10
71,wa
72,made
73,everyone
74,seriesyear
75,oscar
76,though
77,films
78,film
79,co
80,something
81,time
82,two
83,ha
84,know
85,life
86,think
87,d
88,fiction
89,one
90,part
91,performance
92,never
93,must
94,say
95,re
96,story
97,character
98,new
99,scenes
100,'re
101,dont
102,better
103,amazing
104,'ve
105,ya
106,itit
107,novel
108,watch
109,ll
110,post
111,and
112,makes
113,really
114,great
115,ve
116,s
117,years
118,the
119,world
120,read
121,little
122,acting
123,just
124,every
125,ever
126,com
127,still
128,thing
129,actor
130,novella
131,end
132,everything
133,see
134,much
135,movies
